SalesDate,SalesID,CustomerID,SalesPersonID,ProductID,Quantity,Sales,StoreID,OrderStatus
2020-01-01,112,37,9,70,7,226.0,9,Incomplete
2020-01-01,113,59,4,36,37,326.1,7,Pending
2020-01-01,114,59,4,40,19,422.9,7,Incomplete
2020-01-01,115,3,9,11,60,1683.8,nd68G6h0PZbk,Pending
2020-01-01,116,3,9,40,12,230.9,7,Incomplete
2020-01-01,117,3,9,57,6,121.3,7,Incomplete
2020-01-01,118,3,9,59,18,136.7,7,Incomplete
2020-01-01,187,5,9,19,26,207.3,7,Incomplete
2020-01-01,188,5,9,47,21,478.2,7,Pending
2020-01-01,189,5,9,49,15,302.4,7,Complete
2020-01-01,190,66,6,49,31,717.3,4,Complete
2020-01-01,191,48,5,12,21,214.6,1,Complete
2020-01-01,192,48,1,18,11,319.0,1,Complete
2020-01-01,193,48,1,56,5,189.5,1,Complete
2020-01-01,194,22,4,3,33,803.0,4,Complete
2020-01-02,195,1,8,17,20,524.8,8,Complete
2020-01-02,196,1,8,30,15,381.0,8,Complete
2020-01-02,197,51,1,4,10,213.2,9,Complete
2020-01-02,198,51,1,17,70,1712.2,9,Complete
2020-01-02,199,51,1,62,28,857.1,9,Complete
2020-01-02,200,44,8,64,50,1697.5,3,Complete
2020-01-02,201,44,8,68,4,46.2,3,Complete
2020-01-02,202,44,8,76,15,5862.3,3,Complete
2020-01-02,203,89,2,4,35,727.3,4,Complete
2020-01-02,204,89,2,8,70,1358.0,4,Complete
2020-01-02,205,44,8,25,50,752.0,2,Complete
2020-01-02,206,44,8,51,20,2195.8,2,Complete
2020-01-02,207,44,8,54,24,889.7,2,Complete
2020-01-02,208,19,2,69,30,61.5,4,Complete
2020-01-02,209,19,2,71,5,148.7,4,Complete
2020-01-02,210,3,2,11,24,707.5,5,Complete
2020-01-02,211,29,4,65,5,45.6,6,Complete
2020-01-02,212,29,4,77,5,63.6,6,Complete
2020-01-02,213,73,3,21,5,52.7,8,Complete
2020-01-02,214,73,3,28,13,617.1,8,Complete
2020-01-02,215,73,3,57,25,451.3,8,Complete
2020-01-02,216,73,3,64,35,1131.9,8,Complete
2020-01-02,217,75,1,29,20,2355.6,9,Complete
2020-01-02,218,75,1,56,18,709.6,9,Complete
2020-01-02,219,41,4,36,6,46.6,1,Complete
2020-01-02,220,5,2,20,28,2422.3,4,Complete
2020-01-02,221,5,2,60,15,79.8,4,Complete
2020-01-02,222,36,1,13,10,270.4,4,Complete
2020-01-02,223,36,1,62,10,266.7,4,Complete
2020-01-02,224,35,3,46,28,325.4,5,Complete
2020-01-02,225,35,3,53,70,4645.2,5,Complete
2020-01-02,226,35,3,69,8,15.0,5,Complete
2020-01-02,227,71,9,35,30,163.5,8,Complete
2020-01-02,228,71,3,55,120,4486.8,8,Complete
2020-01-02,229,23,6,26,10,300.4,2,Complete
2020-01-02,230,23,6,54,40,1364.8,2,Complete
2020-01-02,231,23,6,11,6,156.8,4,Complete
2020-01-02,232,23,6,76,18,7766.8,4,Complete
2020-01-02,233,46,9,21,40,394.4,1,Complete
2020-01-02,234,46,9,30,28,764.1,1,Complete
2020-01-02,235,46,9,55,60,2114.4,1,Complete
2020-01-02,236,47,9,2,20,348.8,5,Complete
2020-01-02,237,47,9,3,20,433.6,5,Complete
2020-01-02,238,47,9,55,30,1056.3,5,Complete
2020-01-02,239,47,9,70,60,1608.0,5,Complete
2020-01-02,240,5,3,10,2,15.0,4,Complete
2020-01-02,241,5,3,30,10,272.5,4,Complete
2020-01-02,242,5,9,43,60,780.0,4,Complete
2020-01-02,243,5,3,54,15,513.5,4,Complete
2020-01-02,244,35,3,69,18,34.6,2,Complete
2020-01-02,245,35,3,75,30,214.8,2,Complete
2020-01-02,246,23,6,14,14,364.7,9,Complete
2020-01-02,247,23,6,54,9,357.9,9,Complete
2020-01-02,248,46,2,11,14,396.2,6,Complete
2020-01-02,249,46,2,16,35,348.3,6,Complete
2020-01-02,250,46,2,69,17,34.2,6,Complete
2020-01-02,251,49,6,66,37,779.1,1,Complete
2020-01-02,252,49,6,68,24,286.4,1,Complete
2020-01-02,253,69,5,30,10,329.4,6,Complete
2020-01-02,254,69,5,53,10,718.5,6,Complete
2020-01-02,255,69,5,54,5,222.7,6,Complete
2020-01-02,256,1,8,17,23,550.7,8,Complete
2020-01-02,257,1,8,30,17,394.0,8,Complete
2020-01-02,258,79,7,52,23,2056.6,5,Complete
2020-01-02,259,7,4,31,31,268.9,2,Complete
2020-01-02,260,7,4,57,13,238.4,2,Complete
2020-01-02,261,19,3,75,36,276.3,6,Complete
2020-01-02,262,60,4,8,28,702.7,3,Complete
2020-01-02,263,60,4,29,9,1477.4,3,Complete
2020-01-02,264,60,4,42,13,234.8,3,Complete
2020-01-02,265,44,7,3,26,527.5,3,Complete
2020-01-02,266,44,7,59,115,920.0,3,Complete
2020-01-02,267,44,7,70,31,927.8,3,Complete
2020-01-02,268,39,9,55,31,1088.4,4,Complete
2020-01-02,269,39,9,59,22,181.3,4,Complete
2020-01-02,270,73,3,21,5,51.0,8,Complete
2020-01-02,271,73,3,28,12,552.0,8,Complete
2020-01-02,272,73,3,57,24,419.8,8,Complete
2020-01-02,273,73,3,64,33,1034.1,8,Complete
2020-01-02,274,82,1,4,14,388.8,1,Complete
2020-01-02,275,82,1,7,45,2224.8,1,Complete
2020-01-02,276,82,1,8,9,230.1,1,Complete
2020-01-02,277,82,1,20,36,3291.8,4,Complete
2020-01-02,278,82,1,28,32,1536.6,4,Complete
2020-01-02,279,82,1,56,64,2540.1,4,Complete
2020-01-02,280,82,1,65,36,411.3,4,Complete
2020-01-02,281,82,1,75,46,352.1,4,Complete
2020-01-02,282,59,4,36,33,262.3,5,Complete
2020-01-02,283,59,4,40,17,341.3,5,Complete
2020-01-02,284,24,7,4,16,315.3,3,Complete
2020-01-02,285,24,7,72,25,268.8,3,Complete
2020-01-02,286,24,7,73,25,24.9,3,Complete
2020-01-02,287,34,9,24,41,158.7,1,Complete
2020-01-02,288,34,9,38,5,355.2,1,Complete
2020-01-02,289,34,9,65,42,356.3,1,Complete
2020-01-02,290,34,9,71,10,254.1,1,Complete
2020-01-02,291,43,1,11,11,294.3,5,Complete
2020-01-02,292,13,3,21,11,120.0,5,Complete
2020-01-02,293,13,3,37,1,4.7,5,Complete
2020-01-02,294,80,1,10,19,127.4,2,Complete
