SalesID,SalesDate,OrderID,CustomerID,SalesPersonID,ProductID,Quantity,Sales,StoreID,OrderStatus
112,2020-01-01,13749,37,9,70,7,226.0,9,Incomplete
113,2020-01-01,13757,59,4,36,37,326.1,7,Pending
114,2020-01-01,13757,59,4,40,19,422.9,7,Incomplete
115,2020-01-01,13767,3,9,11,60,1683.8,7,Pending
116,2020-01-01,13767,3,9,40,12,230.9,7,Incomplete
117,2020-01-01,13767,3,9,57,6,121.3,7,Incomplete
118,2020-01-01,13767,3,9,59,18,136.7,7,Incomplete
187,2020-01-01,16727,5,9,19,26,207.3,7,Incomplete
188,2020-01-01,16727,5,9,47,21,478.2,7,Pending
189,2020-01-01,16727,5,9,49,15,302.4,7,Complete
190,2020-01-01,16794,66,6,49,31,717.3,4,Complete
191,2020-01-01,16870,48,5,12,21,214.6,1,Complete
192,2020-01-01,16870,48,1,18,11,319.0,1,Complete
193,2020-01-01,16870,48,1,56,5,189.5,1,Complete
194,2020-01-01,16934,22,4,3,33,803.0,4,Complete
195,2020-01-02,10338,1,8,17,20,524.8,8,Complete
196,2020-01-02,10338,1,8,30,15,381.0,8,Complete
197,2020-01-02,10339,51,1,4,10,213.2,9,Complete
198,2020-01-02,10339,51,1,17,70,1712.2,9,Complete
199,2020-01-02,10339,51,1,62,28,857.1,9,Complete
200,2020-01-02,10343,44,8,64,50,1697.5,3,Complete
201,2020-01-02,10343,44,8,68,4,46.2,3,Complete
202,2020-01-02,10343,44,8,76,15,5862.3,3,Complete
203,2020-01-02,10344,89,2,4,35,727.3,4,Complete
204,2020-01-02,10344,89,2,8,70,1358.0,4,Complete
205,2020-01-02,10362,44,8,25,50,752.0,2,Complete
206,2020-01-02,10362,44,8,51,20,2195.8,2,Complete
207,2020-01-02,10362,44,8,54,24,889.7,2,Complete
208,2020-01-02,10364,19,2,69,30,61.5,4,Complete
209,2020-01-02,10364,19,2,71,5,148.7,4,Complete
210,2020-01-02,10365,3,2,11,24,707.5,5,Complete
211,2020-01-02,10366,29,4,65,5,45.6,6,Complete
212,2020-01-02,10366,29,4,77,5,63.6,6,Complete
213,2020-01-02,10368,73,3,21,5,52.7,8,Complete
214,2020-01-02,10368,73,3,28,13,617.1,8,Complete
215,2020-01-02,10368,73,3,57,25,451.3,8,Complete
216,2020-01-02,10368,73,3,64,35,1131.9,8,Complete
217,2020-01-02,10369,75,1,29,20,2355.6,9,Complete
218,2020-01-02,10369,75,1,56,18,709.6,9,Complete
219,2020-01-02,10371,41,4,36,6,46.6,1,Complete
220,2020-01-02,10384,5,2,20,28,2422.3,4,Complete
221,2020-01-02,10384,5,2,60,15,79.8,4,Complete
222,2020-01-02,10394,36,1,13,10,270.4,4,Complete
223,2020-01-02,10394,36,1,62,10,266.7,4,Complete
224,2020-01-02,10395,35,3,46,28,325.4,5,Complete
225,2020-01-02,10395,35,3,53,70,4645.2,5,Complete
